Datetime,Open,High,Low,Close,Volume
2021-06-16T16:00:00.000+0000,137.56,141.33,136.0,140.67,4133.06884786
2021-06-16T20:00:00.000+0000,140.66,140.88,137.87,138.19,342.65769679
2021-06-17T00:00:00.000+0000,138.56,142.85,138.3,142.82,153.6759044
2021-06-17T04:00:00.000+0000,142.85,144.73,142.0,144.33,796.02403945
2021-06-17T08:00:00.000+0000,144.41,144.96,143.06,143.06,1969.76515056
2021-06-17T12:00:00.000+0000,143.05,143.17,141.0,142.65,2224.66546977
2021-06-17T16:00:00.000+0000,142.64,142.64,136.91,137.96,1546.41802211
2021-06-17T20:00:00.000+0000,137.95,140.69,137.12,140.22,1915.73302436
2021-06-18T00:00:00.000+0000,139.85,140.04,136.78,139.04,1471.14820602
2021-06-18T04:00:00.000+0000,139.26,140.25,138.17,138.85,441.10429159
2021-06-18T08:00:00.000+0000,139.06,140.62,135.69,138.58,738.38442645
2021-06-18T12:00:00.000+0000,138.36,138.36,131.99,131.99,1976.28532843
2021-06-18T16:00:00.000+0000,131.99,134.13,127.69,128.68,2350.1820428
2021-06-18T20:00:00.000+0000,128.51,132.11,128.51,131.76,2564.06175265
2021-06-19T00:00:00.000+0000,131.82,133.83,130.02,130.67,792.7806236
2021-06-19T04:00:00.000+0000,130.89,134.08,130.4,133.73,829.6392339
2021-06-19T08:00:00.000+0000,133.89,134.84,133.39,134.31,507.59236272
2021-06-19T12:00:00.000+0000,134.04,135.72,132.81,133.9,2676.89267377
2021-06-19T16:00:00.000+0000,133.94,133.94,130.55,131.96,920.50808854
2021-06-19T20:00:00.000+0000,131.84,132.17,128.87,129.65,644.30984599
2021-06-20T00:00:00.000+0000,129.0,130.36,127.38,129.74,1652.03282242
2021-06-20T04:00:00.000+0000,129.72,131.1,129.02,129.48,1268.60399533
2021-06-20T08:00:00.000+0000,129.51,129.99,122.76,123.41,3832.08331423
2021-06-20T12:00:00.000+0000,123.28,126.87,121.75,125.87,3212.90325859
2021-06-20T16:00:00.000+0000,125.86,129.96,125.25,129.76,2347.67747625
2021-06-20T20:00:00.000+0000,129.95,131.66,129.52,130.56,1509.1493119
2021-06-21T00:00:00.000+0000,130.78,130.78,126.34,126.34,754.75947337
2021-06-21T04:00:00.000+0000,126.51,126.51,115.31,117.73,10442.44264776
2021-06-21T08:00:00.000+0000,117.72,118.68,107.29,112.51,6617.61225452
2021-06-21T12:00:00.000+0000,112.63,115.68,110.0,113.27,5065.38171961
2021-06-21T16:00:00.000+0000,113.1,114.08,109.86,112.52,2620.13674847
2021-06-21T20:00:00.000+0000,113.18,113.85,104.1,104.42,2100.56167671
2021-06-22T00:00:00.000+0000,104.15,111.35,100.79,110.36,1248.72381523
2021-06-22T04:00:00.000+0000,110.41,110.41,107.07,107.52,2841.14089873
2021-06-22T08:00:00.000+0000,107.77,107.79,96.0,96.0,7776.71845354
2021-06-22T12:00:00.000+0000,96.0,100.36,88.101,99.399,30688.83460084
2021-06-22T16:00:00.000+0000,99.311,103.08,98.781,100.01,7325.28789662
2021-06-22T20:00:00.000+0000,99.96,103.35,98.742,100.24,2536.33502416
2021-06-23T00:00:00.000+0000,100.24,110.0,97.045,107.91,2135.98491903
2021-06-23T04:00:00.000+0000,108.11,110.46,106.91,108.44,3263.88167904
2021-06-23T08:00:00.000+0000,108.89,109.75,107.11,107.9,1810.00444752
2021-06-23T12:00:00.000+0000,107.69,112.04,106.28,106.28,1904.72140622
2021-06-23T16:00:00.000+0000,106.46,108.61,103.79,103.79,3215.41127618
2021-06-23T20:00:00.000+0000,103.86,108.15,103.86,108.15,2579.21003618
2021-06-24T00:00:00.000+0000,108.67,109.0,103.97,106.23,638.76081487
2021-06-24T04:00:00.000+0000,107.19,110.5,106.13,109.46,1313.12075251
2021-06-24T08:00:00.000+0000,109.37,112.91,109.35,112.7,1527.25394373
2021-06-24T12:00:00.000+0000,112.87,113.94,110.93,112.21,3561.26399076
2021-06-24T16:00:00.000+0000,112.06,115.0,111.47,112.91,1592.64200986
2021-06-24T20:00:00.000+0000,113.05,114.23,111.58,112.72,802.08283404
2021-06-25T00:00:00.000+0000,112.82,115.63,111.0,115.16,493.22137233
2021-06-25T04:00:00.000+0000,114.46,114.47,109.95,110.74,1660.86521048
2021-06-25T08:00:00.000+0000,110.63,111.2,107.74,108.64,1818.26610617
2021-06-25T12:00:00.000+0000,108.63,110.38,106.05,107.06,1380.79912332
2021-06-25T16:00:00.000+0000,107.07,108.27,105.03,107.94,1330.11060515
2021-06-25T20:00:00.000+0000,107.2,108.31,104.42,105.01,556.78133906
2021-06-26T00:00:00.000+0000,104.97,107.88,103.94,106.45,318.22423569
2021-06-26T04:00:00.000+0000,106.62,108.44,101.72,102.02,1075.09556185
2021-06-26T08:00:00.000+0000,102.21,104.85,100.05,104.42,4588.15174641
2021-06-26T12:00:00.000+0000,104.31,105.49,100.71,103.11,1070.14370269
2021-06-26T16:00:00.000+0000,103.12,104.14,100.42,103.22,439.09231682
2021-06-26T20:00:00.000+0000,103.31,106.35,101.21,106.35,2198.30121456
2021-06-27T00:00:00.000+0000,106.43,108.63,105.57,108.27,893.36775839
2021-06-27T04:00:00.000+0000,108.37,108.93,107.06,108.71,920.35393456
2021-06-27T08:00:00.000+0000,108.58,108.58,105.66,106.8,1118.1191414
2021-06-27T12:00:00.000+0000,106.65,107.76,105.94,107.05,430.87987694
2021-06-27T16:00:00.000+0000,107.05,107.25,104.44,105.84,1078.51472174
2021-06-27T20:00:00.000+0000,105.47,110.9,104.8,110.9,728.63319999
2021-06-28T00:00:00.000+0000,110.75,111.38,109.42,109.72,1822.4284112
2021-06-28T04:00:00.000+0000,109.79,112.0,109.24,111.62,1122.01870729
2021-06-28T08:00:00.000+0000,111.67,113.04,109.33,109.7,3672.13536209
2021-06-28T12:00:00.000+0000,109.71,114.85,109.05,114.75,1729.01114229
2021-06-28T16:00:00.000+0000,114.74,116.54,113.39,114.38,4447.20016225
2021-06-28T20:00:00.000+0000,114.17,117.0,113.85,115.09,2365.88665485
2021-06-29T00:00:00.000+0000,115.68,119.0,115.27,116.42,393.45336046
2021-06-29T04:00:00.000+0000,116.54,118.67,116.03,117.0,1031.05676681
2021-06-29T08:00:00.000+0000,116.96,122.68,116.31,122.14,2063.14296781
2021-06-29T12:00:00.000+0000,122.18,125.67,121.11,124.36,2721.82277343
2021-06-29T16:00:00.000+0000,124.5,125.24,122.41,124.52,1613.06533709
2021-06-29T20:00:00.000+0000,124.17,124.45,120.45,121.02,818.09493337
2021-06-30T00:00:00.000+0000,120.96,123.21,119.18,119.18,1593.54334063
2021-06-30T04:00:00.000+0000,119.4,120.59,117.76,120.24,1826.71709782
2021-06-30T08:00:00.000+0000,120.15,120.26,116.85,119.24,2966.96955824
