Datetime,Open,High,Low,Close,Volume
2021-07-11T16:00:00.000+0000,1.1349,1.1385,1.1306,1.135,232139.179217
2021-07-11T17:00:00.000+0000,1.1361,1.1365,1.1306,1.1306,128255.514325
2021-07-11T18:00:00.000+0000,1.1306,1.1325,1.1281,1.1288,107766.725032
2021-07-11T19:00:00.000+0000,1.1302,1.1311,1.1261,1.1266,160381.626773
2021-07-11T20:00:00.000+0000,1.1272,1.1299,1.1257,1.1258,142174.164023
2021-07-11T21:00:00.000+0000,1.1251,1.1511,1.125,1.1484,320446.868638
2021-07-11T22:00:00.000+0000,1.1477,1.15,1.1378,1.1397,168412.165964
2021-07-11T23:00:00.000+0000,1.1385,1.1392,1.1344,1.1357,97734.129743
2021-07-12T00:00:00.000+0000,1.1374,1.1416,1.1313,1.1351,40665.441052
2021-07-12T01:00:00.000+0000,1.1326,1.1377,1.132,1.135,5283.7505
2021-07-12T02:00:00.000+0000,1.1363,1.1426,1.1343,1.1404,44850.792237
2021-07-12T03:00:00.000+0000,1.1424,1.1501,1.1424,1.149,29651.571627
2021-07-12T04:00:00.000+0000,1.1479,1.1498,1.1402,1.1411,69558.089341
2021-07-12T05:00:00.000+0000,1.1401,1.1447,1.1381,1.1445,140062.127082
2021-07-12T06:00:00.000+0000,1.1436,1.1586,1.1404,1.1563,233560.158858
2021-07-12T07:00:00.000+0000,1.1561,1.1588,1.144,1.1473,410091.620873
2021-07-12T08:00:00.000+0000,1.1469,1.1532,1.1449,1.1476,97824.077104
2021-07-12T09:00:00.000+0000,1.1472,1.1508,1.141,1.1425,243168.684835
2021-07-12T10:00:00.000+0000,1.1405,1.1407,1.1312,1.1331,295621.550375
2021-07-12T11:00:00.000+0000,1.1329,1.1387,1.1276,1.1294,208416.731808
2021-07-12T12:00:00.000+0000,1.1283,1.1327,1.1236,1.1289,174467.268148
2021-07-12T13:00:00.000+0000,1.1253,1.1319,1.125,1.131,151440.47296
2021-07-12T14:00:00.000+0000,1.1299,1.1305,1.1241,1.1247,113399.217744
2021-07-12T15:00:00.000+0000,1.1257,1.1262,1.1164,1.1164,287151.820155
2021-07-12T16:00:00.000+0000,1.1165,1.1203,1.1044,1.1096,845936.998869
2021-07-12T17:00:00.000+0000,1.108,1.1118,1.1024,1.1035,390823.8261
2021-07-12T18:00:00.000+0000,1.1026,1.1071,1.097,1.1009,376881.73299
2021-07-12T19:00:00.000+0000,1.0999,1.1118,1.0918,1.0951,895115.794422
2021-07-12T20:00:00.000+0000,1.0935,1.1025,1.0898,1.1019,589352.168633
2021-07-12T21:00:00.000+0000,1.102,1.1062,1.0994,1.1032,188787.521055
2021-07-12T22:00:00.000+0000,1.1034,1.1094,1.1019,1.1073,104693.075924
2021-07-12T23:00:00.000+0000,1.1084,1.1146,1.105,1.1081,48536.694492
2021-07-13T00:00:00.000+0000,1.107,1.1109,1.0979,1.1048,64398.343543
2021-07-13T01:00:00.000+0000,1.1051,1.1069,1.0993,1.1054,14435.60094
2021-07-13T02:00:00.000+0000,1.1064,1.1069,1.1008,1.1008,38042.302327
2021-07-13T03:00:00.000+0000,1.102,1.1076,1.102,1.1029,21829.023921
2021-07-13T04:00:00.000+0000,1.1031,1.1052,1.1004,1.1032,36758.929283
2021-07-13T05:00:00.000+0000,1.1036,1.1041,1.0856,1.0876,395317.568358
2021-07-13T06:00:00.000+0000,1.0875,1.1029,1.0864,1.0948,215391.195576
