Datetime,Open,High,Low,Close,Volume
2022-11-28 14:00:00,1117.9,1132.4,1108.5,1118.0,532.16538124
2022-11-28 16:00:00,1118.2,1139.2,1107.3,1130.1,507.35659181
2022-11-28 18:00:00,1128.8,1134.1,1125.5,1133.6,208.28269756
2022-11-28 20:00:00,1132.2,1137.6,1130.0,1132.7,168.81203528
2022-11-28 22:00:00,1133.5,1134.0,1126.8,1129.5,103.37425396
2022-11-29 00:00:00,1127.5,1139.0,1119.0,1134.5,85.02041809
2022-11-29 02:00:00,1134.8,1145.0,1134.8,1140.1,14.51967996
2022-11-29 04:00:00,1140.9,1168.0,1140.9,1160.8,157.64329851
2022-11-29 06:00:00,1162.1,1167.8,1158.2,1160.5,200.05883745
2022-11-29 08:00:00,1160.4,1174.4,1160.4,1174.3,303.30155695
2022-11-29 10:00:00,1173.8,1176.0,1167.9,1169.8,252.88625271
2022-11-29 12:00:00,1171.8,1173.1,1163.5,1169.5,156.28999745
2022-11-29 14:00:00,1168.2,1174.5,1161.1,1165.3,274.73593329
2022-11-29 16:00:00,1165.6,1170.2,1163.7,1167.5,133.40281137
2022-11-29 18:00:00,1168.4,1177.0,1165.7,1176.0,329.54895449
2022-11-29 20:00:00,1176.3,1185.5,1176.1,1178.6,280.61036931
2022-11-29 22:00:00,1179.0,1185.9,1176.1,1176.8,212.75077316
2022-11-30 00:00:00,1176.5,1238.9,1174.0,1227.8,806.82123534
2022-11-30 02:00:00,1229.4,1235.9,1219.0,1220.3,362.09189231
2022-11-30 04:00:00,1219.9,1227.0,1219.0,1226.4,167.86438602
2022-11-30 06:00:00,1225.7,1230.1,1221.8,1228.6,347.82734825
2022-11-30 08:00:00,1229.5,1233.0,1215.3,1220.2,358.66079744
2022-11-30 10:00:00,1221.0,1224.5,1218.6,1221.2,271.66250728
2022-11-30 12:00:00,1221.7,1224.2,1210.4,1218.4,343.22289374
2022-11-30 14:00:00,1218.1,1229.0,1214.6,1227.8,276.20534231
2022-11-30 16:00:00,1229.4,1237.2,1218.8,1224.7,286.87180137
2022-11-30 18:00:00,1225.7,1251.0,1218.1,1236.3,880.7048859
2022-11-30 20:00:00,1236.3,1248.6,1233.0,1246.5,443.73549953
2022-11-30 22:00:00,1245.2,1256.3,1240.7,1241.6,263.72578546
2022-12-01 00:00:00,1241.1,1242.1,1228.1,1231.8,410.6772543
2022-12-01 02:00:00,1232.7,1237.1,1229.1,1235.1,237.94230544
2022-12-01 04:00:00,1233.5,1236.3,1222.0,1227.8,258.15696978
2022-12-01 06:00:00,1228.0,1230.0,1223.3,1228.4,126.04087599
2022-12-01 08:00:00,1229.6,1233.0,1225.0,1230.3,186.35063499
2022-12-01 10:00:00,1230.2,1231.2,1224.0,1229.3,109.85421844
2022-12-01 12:00:00,1229.0,1238.1,1211.6,1218.9,338.79747172
2022-12-01 14:00:00,1220.4,1221.2,1203.1,1211.8,588.66222748
2022-12-01 16:00:00,1211.9,1214.8,1207.0,1213.7,177.86682249
2022-12-01 18:00:00,1213.0,1216.5,1210.7,1214.5,222.68388616
2022-12-01 20:00:00,1214.3,1214.7,1203.7,1213.5,181.93460893
2022-12-01 22:00:00,1212.4,1219.6,1209.6,1211.3,92.78093908
2022-12-02 00:00:00,1212.8,1222.1,1208.0,1211.8,79.32469305
2022-12-02 02:00:00,1211.7,1212.6,1205.9,1208.6,17.40798737
2022-12-02 04:00:00,1207.0,1211.2,1205.3,1211.1,25.09204346
2022-12-02 06:00:00,1210.9,1213.9,1207.4,1213.9,92.47729504
2022-12-02 08:00:00,1212.2,1217.9,1211.0,1215.0,124.8612457
2022-12-02 10:00:00,1215.8,1229.6,1214.3,1223.9,220.1159119
2022-12-02 12:00:00,1224.1,1230.3,1213.1,1221.9,414.77419882
2022-12-02 14:00:00,1221.5,1229.0,1216.2,1223.2,159.52023633
2022-12-02 16:00:00,1222.2,1222.3,1212.7,1215.8,214.67704159
2022-12-02 18:00:00,1216.9,1224.0,1215.0,1222.2,88.34007363
2022-12-02 20:00:00,1223.7,1230.0,1221.8,1225.0,134.73193138
2022-12-02 22:00:00,1225.9,1230.0,1224.4,1230.0,82.46634822
2022-12-03 00:00:00,1230.0,1237.5,1221.6,1222.7,154.22566013
2022-12-03 02:00:00,1224.2,1224.2,1218.0,1219.4,33.2182854
2022-12-03 04:00:00,1220.5,1225.6,1220.1,1224.6,28.21212537
2022-12-03 06:00:00,1224.8,1225.0,1210.0,1212.9,156.85085928
2022-12-03 08:00:00,1211.9,1213.9,1204.0,1208.6,133.50515575
2022-12-03 10:00:00,1209.4,1210.2,1198.9,1205.8,180.11891214
2022-12-03 12:00:00,1204.7,1209.0,1204.7,1206.7,84.19992191
2022-12-03 14:00:00,1206.9,1211.2,1203.6,1208.1,62.61945599
2022-12-03 16:00:00,1206.8,1208.7,1202.1,1206.3,81.37248229
2022-12-03 18:00:00,1207.4,1208.5,1200.3,1203.4,111.73540127
2022-12-03 20:00:00,1203.3,1203.5,1192.5,1197.4,169.81143682
2022-12-03 22:00:00,1198.0,1198.1,1175.0,1179.1,433.92457723
2022-12-04 00:00:00,1179.9,1200.0,1179.9,1193.9,117.84619144
2022-12-04 02:00:00,1193.6,1198.8,1191.8,1193.6,15.55130829
2022-12-04 04:00:00,1197.6,1203.4,1195.1,1198.2,43.64470434
2022-12-04 06:00:00,1198.4,1199.2,1191.7,1195.3,77.50900155
2022-12-04 08:00:00,1195.1,1200.2,1191.6,1193.6,142.2742523
2022-12-04 10:00:00,1194.5,1197.1,1188.7,1192.3,192.09979454
2022-12-04 12:00:00,1191.0,1194.9,1188.0,1191.9,93.42097598
2022-12-04 14:00:00,1192.2,1199.5,1187.6,1195.9,120.44739059
2022-12-04 16:00:00,1197.2,1203.6,1193.5,1203.6,204.74510466
2022-12-04 18:00:00,1202.8,1216.9,1202.1,1213.3,389.62006294
2022-12-04 20:00:00,1213.3,1218.5,1210.1,1213.7,174.6826206
2022-12-04 22:00:00,1212.1,1220.0,1207.8,1214.3,143.3776769
2022-12-05 00:00:00,1214.7,1227.9,1209.7,1221.1,179.79864445
2022-12-05 02:00:00,1221.9,1228.2,1219.6,1219.6,38.62267317
2022-12-05 04:00:00,1220.6,1232.9,1218.6,1224.7,240.09871689
2022-12-05 06:00:00,1224.9,1234.1,1223.4,1232.5,255.95575196
2022-12-05 08:00:00,1231.9,1238.4,1225.2,1226.7,327.06284434
2022-12-05 10:00:00,1226.7,1233.1,1223.6,1225.3,233.75506404
2022-12-05 12:00:00,1225.2,1226.0,1214.9,1217.7,311.54032136
2022-12-05 14:00:00,1216.1,1220.4,1196.2,1204.1,496.40205895
2022-12-05 16:00:00,1204.1,1206.4,1193.9,1204.7,226.00876896
2022-12-05 18:00:00,1205.1,1209.6,1189.0,1195.6,320.14870084
2022-12-05 20:00:00,1195.6,1201.2,1193.0,1201.0,202.14840388
2022-12-05 22:00:00,1201.2,1201.7,1196.0,1200.7,67.15841408
2022-12-06 00:00:00,1200.6,1208.0,1199.2,1201.0,40.51566446
2022-12-06 02:00:00,1202.1,1207.6,1200.8,1201.3,39.19743409
2022-12-06 04:00:00,1201.9,1203.3,1196.6,1196.6,43.70156977
2022-12-06 06:00:00,1196.0,1205.4,1196.0,1201.2,104.25374468
2022-12-06 08:00:00,1202.0,1204.8,1196.0,1197.4,151.62688195
2022-12-06 10:00:00,1197.0,1198.9,1183.4,1194.7,313.79205827
2022-12-06 12:00:00,1195.3,1200.2,1192.6,1192.6,134.68040931
2022-12-06 14:00:00,1193.6,1197.9,1186.8,1194.5,201.64804702
2022-12-06 16:00:00,1195.0,1198.0,1190.8,1193.8,160.76092103
2022-12-06 18:00:00,1193.7,1196.8,1186.8,1194.7,124.68958604
2022-12-06 20:00:00,1194.8,1199.5,1191.4,1199.5,69.33105512
2022-12-06 22:00:00,1199.5,1216.5,1195.1,1213.3,109.56799636
2022-12-07 00:00:00,1214.3,1219.4,1206.1,1207.8,58.67472684
2022-12-07 02:00:00,1206.5,1209.7,1203.1,1205.2,26.42874859
2022-12-07 04:00:00,1204.7,1208.2,1201.3,1202.7,29.35680064
2022-12-07 06:00:00,1202.7,1204.6,1167.5,1170.0,407.17860253
2022-12-07 08:00:00,1169.8,1176.7,1165.5,1174.8,286.18147526
2022-12-07 10:00:00,1173.5,1174.8,1167.1,1168.7,218.63786571
2022-12-07 12:00:00,1168.2,1173.2,1161.6,1170.6,262.31489214
2022-12-07 14:00:00,1170.6,1178.5,1168.2,1174.8,179.77608408
2022-12-07 16:00:00,1175.3,1176.6,1168.5,1171.6,71.79001367
2022-12-07 18:00:00,1170.1,1175.7,1168.3,1171.6,177.84358148
2022-12-07 20:00:00,1172.7,1175.7,1169.3,1172.4,149.62123166
2022-12-07 22:00:00,1172.8,1174.8,1164.1,1171.6,134.73406536
2022-12-08 00:00:00,1170.5,1174.9,1164.0,1165.6,26.6908014
2022-12-08 02:00:00,1168.6,1179.4,1166.9,1172.7,32.74396585
2022-12-08 04:00:00,1173.6,1173.6,1167.4,1170.2,34.16743553
2022-12-08 06:00:00,1169.2,1174.1,1165.4,1171.0,80.80093636
2022-12-08 08:00:00,1171.8,1174.7,1170.6,1172.1,53.83126868
2022-12-08 10:00:00,1171.1,1182.9,1169.3,1180.6,103.9071858
2022-12-08 12:00:00,1180.8,1185.4,1174.6,1183.5,122.87020038
2022-12-08 14:00:00,1183.5,1188.6,1177.9,1185.8,211.71235669
2022-12-08 16:00:00,1184.8,1191.4,1183.5,1188.5,151.71058223
